1	0.641304
2	0.710702
3	0.745819
4	0.767559
5	0.782609
6	0.791806
7	0.800167
8	0.809365
9	0.814381
10	0.819398
11	0.826923
12	0.83194
13	0.83612
14	0.840301
15	0.845318
16	0.850334
17	0.853679
18	0.855351
19	0.857023
20	0.86204
21	0.862876
22	0.865385
23	0.869565
24	0.871237
25	0.87291
26	0.873746
27	0.874582
28	0.875418
29	0.875418
30	0.881271
31	0.883779
32	0.885451
33	0.887124
34	0.889632
35	0.891304
36	0.893813
37	0.895485
38	0.898829
39	0.899666
40	0.901338
41	0.90301
42	0.906354
43	0.906354
44	0.908027
45	0.908863
46	0.908863
47	0.909699
48	0.909699
49	0.909699
50	0.909699
