380	0	14
385	0	16
390	0	19
395	0	19
400	0	22
405	0	23
410	0	23
415	0	25
420	0	30
425	0	35
430	0	42
435	0	48
440	0	51
445	0	52
450	0	55
455	0	59
460	1	63
465	1	69
470	1	75
475	1	77
480	1	87
485	1	93
490	1	98
495	1	101
500	1	104
505	3	109
510	3	116
515	3	119
520	3	121
525	3	128
530	3	132
535	3	137
540	4	140
545	4	149
550	4	163
555	4	168
560	4	179
565	5	187
570	5	191
575	5	201
580	5	212
585	5	217
590	6	226
595	6	235
600	6	243
605	6	256
610	6	265
615	6	276
620	6	284
625	6	300
630	6	309
635	6	323
640	6	335
645	6	351
650	7	361
655	7	371
660	8	384
665	9	396
670	9	409
675	9	420
680	9	432
685	10	436
690	10	445
695	10	450
700	10	463
705	10	476
710	11	480
715	11	493
720	11	502
725	11	508
730	11	515
735	11	531
740	11	543
745	12	554
750	14	560
755	14	567
760	14	581
765	14	595
770	14	604
775	14	615
780	14	625
785	14	634
790	14	642
795	14	652
800	15	660
805	15	667
810	15	674
815	15	680
820	15	688
825	15	692
830	15	698
835	15	708
840	16	719
845	16	726
850	18	732
855	18	740
860	18	749
865	18	756
870	19	763
875	19	774
880	19	784
885	19	793
890	20	802
895	21	809
900	21	818
905	22	822
910	22	830
915	22	837
920	22	842
925	22	854
930	22	857
935	22	864
940	22	875
945	22	881
950	23	892
955	23	899
960	24	902
965	24	905
970	25	912
975	26	916
980	27	922
985	27	931
990	27	935
995	27	943
1000	27	945
1005	27	952
1010	28	955
1015	28	961
1020	28	966
1025	28	969
1030	29	974
1035	30	980
1040	32	982
1045	32	984
1050	32	990
1055	32	994
1060	33	997
1065	33	1006
1070	34	1010
1075	34	1013
1080	34	1015
1085	34	1016
1090	34	1021
1095	34	1026
1100	34	1031
1105	34	1036
1110	34	1039
1115	34	1040
1120	34	1044
1125	35	1046
1130	35	1048
1135	36	1050
1140	37	1050
1145	37	1054
1150	37	1058
1155	38	1060
1160	38	1063
1165	38	1063
1170	38	1064
1175	38	1065
1180	38	1067
1185	38	1069
1190	38	1069
1195	38	1071
1200	38	1072
1205	38	1074
1210	39	1077
1215	39	1077
1220	40	1077
1225	40	1078
1230	40	1079
1235	40	1080
1240	41	1080
1245	41	1083
1250	44	1084
1255	44	1085
1260	44	1086
1265	46	1088
1270	47	1089
1275	48	1090
1280	48	1091
1285	48	1091
1290	48	1091
1295	48	1092
1300	48	1094
1305	48	1095
1310	48	1097
1315	48	1098
1320	48	1098
1325	48	1098
1330	50	1100
1335	51	1100
1340	51	1100
1345	51	1102
1350	51	1103
1355	51	1105
1360	53	1106
1365	53	1107
1370	53	1107
1375	53	1107
1380	53	1107
1385	54	1108
1390	54	1108
1395	54	1108
1400	54	1108
1405	55	1109
1410	56	1110
1415	56	1111
1420	56	1111
1425	57	1111
1430	57	1111
1435	57	1111
1440	58	1111
1445	58	1113
1450	59	1113
1455	59	1113
1460	59	1114
1465	59	1114
1470	59	1114
1475	59	1114
1480	59	1114
1485	59	1114
1490	59	1114
1495	59	1114
