1	0.599498
2	0.668896
3	0.709866
4	0.734114
5	0.760033
6	0.773411
7	0.783445
8	0.795151
9	0.801839
10	0.805184
11	0.813545
12	0.819398
13	0.82107
14	0.826087
15	0.828595
16	0.83194
17	0.836957
18	0.845318
19	0.850334
20	0.852007
21	0.854515
22	0.858696
23	0.861204
24	0.863712
25	0.867893
26	0.868729
27	0.869565
28	0.872074
29	0.876254
30	0.879599
31	0.880435
32	0.882107
33	0.884615
34	0.884615
35	0.887124
36	0.889632
37	0.889632
38	0.890468
39	0.890468
40	0.890468
41	0.890468
42	0.89214
43	0.895485
44	0.898829
45	0.898829
46	0.898829
47	0.900502
48	0.902174
49	0.902174
50	0.90301
