1	0.462375
2	0.550167
3	0.595318
4	0.637124
5	0.66388
6	0.679766
7	0.696488
8	0.715719
9	0.72408
10	0.73495
11	0.744983
12	0.757525
13	0.763378
14	0.771739
15	0.777592
16	0.784281
17	0.791806
18	0.797659
19	0.803512
20	0.807692
21	0.812709
22	0.819398
23	0.826087
24	0.827759
25	0.83194
26	0.83612
27	0.836957
28	0.838629
29	0.841973
30	0.841973
31	0.844482
32	0.846154
33	0.852007
34	0.852007
35	0.857023
36	0.859532
37	0.861204
38	0.864549
39	0.866221
40	0.868729
41	0.871237
42	0.872074
43	0.873746
44	0.874582
45	0.876254
46	0.87709
47	0.880435
48	0.882943
49	0.883779
50	0.885451
